"Turns the whole storefront into a B2B catalog: Add to
                        Cart and checkout are <strong>refused by the server</strong>, and
                        shoppers request a quote instead. This is enforced in PHP, not by
                        hiding buttons, so a crafted request cannot get around it.<br>
                        <strong>Existing carts are not emptied.</strong> They can still be
                        viewed and emptied; they simply cannot grow or be checked out, and
                        they work normally again the moment you switch this off.<br>
                        Creating orders from the Admin (Sales &gt; Orders &gt; Create New
                        Order) is unaffected, and so is TackQuote turning an accepted quote
                        into a real order.<br>
                        <em>Requires a saved API key above — without one no quote button can
                        render, so quote-only mode stays inactive rather than leaving your
                        storefront with no way to buy AND no way to ask.</em>","Turns the whole storefront into a B2B catalog: Add to
                        Cart and checkout are <strong>refused by the server</strong>, and
                        shoppers request a quote instead. This is enforced in PHP, not by
                        hiding buttons, so a crafted request cannot get around it.<br>
                        <strong>Existing carts are not emptied.</strong> They can still be
                        viewed and emptied; they simply cannot grow or be checked out, and
                        they work normally again the moment you switch this off.<br>
                        Creating orders from the Admin (Sales &gt; Orders &gt; Create New
                        Order) is unaffected, and so is TackQuote turning an accepted quote
                        into a real order.<br>
                        <em>Requires a saved API key above — without one no quote button can
                        render, so quote-only mode stays inactive rather than leaving your
                        storefront with no way to buy AND no way to ask.</em>"
"Applies to","Applies to"
"Who sees the quote-only storefront. ""Guests only"" is the usual
                        B2B setup: the public gets a catalog, and approved customers who have
                        signed in keep a normal cart and checkout.","Who sees the quote-only storefront. ""Guests only"" is the usual
                        B2B setup: the public gets a catalog, and approved customers who have
                        signed in keep a normal cart and checkout."
"Customer groups","Customer groups"
"Used only when ""Applies to"" is set to selected customer groups.
                        NOT LOGGED IN is a real group here and can be selected on its own —
                        that is equivalent to ""Guests only"".","Used only when ""Applies to"" is set to selected customer groups.
                        NOT LOGGED IN is a real group here and can be selected on its own —
                        that is equivalent to ""Guests only""."
"Request a Quote button","Request a Quote button"
"Show quote button on product pages","Show quote button on product pages"
"When enabled, shoppers see a ""Request a Quote"" button on the product
                        view page. Submitting it creates a quote request in TackQuote — it
                        does not add to cart or affect checkout.","When enabled, shoppers see a ""Request a Quote"" button on the product
                        view page. Submitting it creates a quote request in TackQuote — it
                        does not add to cart or affect checkout."
"Show ""Add to Quote"" button","Show ""Add to Quote"" button"
"Lets shoppers collect several products into a quote list and submit
                        them as one request. The list is held in the browser and never touches
                        the Magento cart, so stock, cart totals and checkout are unaffected.","Lets shoppers collect several products into a quote list and submit
                        them as one request. The list is held in the browser and never touches
                        the Magento cart, so stock, cart totals and checkout are unaffected."
"""Add to Quote"" label","""Add to Quote"" label"
"Show on category and search results","Show on category and search results"
"Adds ""Add to Quote"" to product listings, so a buyer can build a large
                        request without opening every product page. Products with required
                        options (configurable, bundle) link to the product page instead, since
                        a quote needs the chosen variant.","Adds ""Add to Quote"" to product listings, so a buyer can build a large
                        request without opening every product page. Products with required
                        options (configurable, bundle) link to the product page instead, since
                        a quote needs the chosen variant."
"Quote list submit label","Quote list submit label"
